Rank,Name,Category,USDC Amount (USD),% of Total
234,APX Bridge,Bridge,4104696.05,0.0105%
235,Parcl V3,Derivatives,3927575.38,0.0100%
236,PinkSale,Launchpad,3856738.83,0.0098%
237,YeiLend,Lending,3846499.21,0.0098%
238,HyperWave,Yield,3761024.99,0.0096%
239,Cetus CLMM,Dexs,3742885.22,0.0095%
240,Aave Horizon RWA,RWA Lending,3701486.42,0.0094%
241,TAU Labs,Risk Curators,3692945.27,0.0094%
242,Figure Markets Exchange,OTC Marketplace,3690353.14,0.0094%
243,SoDEX Bridge,Bridge,3663020.34,0.0093%
244,Joe V2.2,Dexs,3609762.89,0.0092%
245,Sport.fun,Prediction Market,3608834.13,0.0092%
246,OSL HK,CEX,3592321.80,0.0092%
247,Quickswap V3,Dexs,3591423.89,0.0092%
248,Thorchain DEX,Dexs,3588838.87,0.0091%
249,Vesu,Lending,3587825.35,0.0091%
250,SaucerSwap V2,Dexs,3519123.91,0.0090%
251,Velodrome V2,Dexs,3511435.93,0.0089%
252,TxFlow Bridge,Bridge,3471350.17,0.0088%
253,PulseX V1,Dexs,3398053.32,0.0087%
254,Liminal,Basis Trading,3374193.47,0.0086%
255,SyncSwap,Dexs,3333792.35,0.0085%
256,Symbiosis,Cross Chain Bridge,3299749.20,0.0084%
257,zkSync Lite Bridge,Canonical Bridge,3283458.12,0.0084%
258,Velodrome V3,Dexs,3265037.83,0.0083%
259,SparkLend,Lending,3250114.88,0.0083%
260,DOOAR,Dexs,3190528.52,0.0081%
261,Arcadia V2,Liquidity Manager,3176104.50,0.0081%
262,AlphaFi Agg,Yield Aggregator,3137566.17,0.0080%
263,eva Markets,RWA,3131224.68,0.0080%
264,ZEROBASE CeDeFi,Basis Trading,3130209.52,0.0080%
265,Synapse,Cross Chain Bridge,3087075.28,0.0079%
266,Vesper,Yield Aggregator,3045752.91,0.0078%
267,SushiSwap V3,Dexs,3025654.86,0.0077%
268,Vectis Finance,Yield,3024358.43,0.0077%
269,Hegic,Options,2983258.38,0.0076%
270,CEX.IO,CEX,2966799.59,0.0076%
271,TermFinance Vaults,Yield,2892807.59,0.0074%
272,Ferro,Dexs,2891591.17,0.0074%
273,Nucleus,Yield Aggregator,2880492.97,0.0073%
274,Immutable zkEVM,Chain,2832587.08,0.0072%
275,FlashTrade,Derivatives,2758817.32,0.0070%
276,Bumpin Trade,Derivatives,2746216.86,0.0070%
277,Poloniex,CEX,2745637.97,0.0070%
278,IntentX,Derivatives,2731556.26,0.0070%
279,Idle,Yield Aggregator,2719159.93,0.0069%
280,Bracket Vaults,Onchain Capital Allocator,2710178.09,0.0069%
281,Orbit Bridge,Bridge,2706102.72,0.0069%
282,Nirvana V2,Reserve Currency,2696354.12,0.0069%
283,Flux Finance,Lending,2687966.50,0.0069%
284,Perena Vaults,Onchain Capital Allocator,2669144.68,0.0068%
285,Spectra MetaVaults Outside V2,Onchain Capital Allocator,2634770.45,0.0067%
286,PoolTogether V3,Yield Lottery,2611322.71,0.0067%
287,Hastra,RWA,2608048.70,0.0066%
288,Radpie,Yield,2578371.62,0.0066%
289,Fuel Bridge,Bridge,2570545.98,0.0066%
290,Monday Trade Perps,Derivatives,2559820.69,0.0065%
291,SynFutures V3,Derivatives,2554778.64,0.0065%
292,Osmosis DEX,Dexs,2472289.15,0.0063%
293,Moonwell Lending,Lending,2439589.69,0.0062%
294,Allbridge Classic,Bridge,2433982.92,0.0062%
295,Scallop Lend,Lending,2423069.98,0.0062%
296,Gearbox,Lending,2407859.74,0.0061%
297,Hydration DEX,Dexs,2401172.97,0.0061%
298,Chainflip AMM,Dexs,2352860.65,0.0060%
299,Hyperbeat Earn,Yield Aggregator,2327367.13,0.0059%
300,Loopscale,Lending,2307216.65,0.0059%
301,Cronos zkEVM Bridge,Canonical Bridge,2303391.73,0.0059%
302,MYX Finance,Derivatives,2287160.09,0.0058%
303,Okcoin,CEX,2285083.80,0.0058%
304,SYMMIO,Derivatives,2266749.42,0.0058%
305,Syntropia,Yield Aggregator,2252322.34,0.0057%
306,ThalaSwap V3,Dexs,2248497.89,0.0057%
307,Generic.Money,Algo-Stables,2241563.45,0.0057%
308,Meteora DAMM V1,Dexs,2211453.27,0.0056%
309,Wan Bridge,Bridge,2201724.41,0.0056%
310,Manta Pacific,Canonical Bridge,2179742.04,0.0056%
311,LeveX,CEX,2158974.55,0.0055%
312,Project 0,Lending,2147689.69,0.0055%
313,Kai Finance,Leveraged Farming,2140075.92,0.0055%
314,ICHI,Liquidity Manager,2109471.39,0.0054%
315,Bitkub,CEX,2069681.63,0.0053%
316,Ourbit,CEX,2011583.06,0.0051%
317,DODO AMM,Dexs,2007328.55,0.0051%
318,Katana DEX,Dexs,1987817.37,0.0051%
319,BulbaSwap V3,Dexs,1982210.63,0.0051%
320,DipCoin Perps,Derivatives,1919629.30,0.0049%
321,Vest Markets,Derivatives,1919325.29,0.0049%
322,Mezo Bridge,Bridge,1903388.98,0.0049%
323,Aftermath afLP,Yield,1899810.68,0.0048%
324,CoinEx,CEX,1889400.01,0.0048%
325,marginfi Lending,Lending,1888738.03,0.0048%
326,Moar Market,Leveraged Farming,1865890.51,0.0048%
327,ELFi Protocol,Derivatives,1862865.11,0.0047%
328,Hydrex Omni,Dexs,1857699.91,0.0047%
329,BitVenus,CEX,1847961.00,0.0047%
330,Dnax,Dexs,1847912.22,0.0047%
331,Superfluid,Payments,1838253.19,0.0047%
332,Fulcrom Perps,Derivatives,1833578.25,0.0047%
333,K3 Capital,Risk Curators,1772492.22,0.0045%
334,LandX Finance,RWA,1767511.89,0.0045%
335,Dexalot Portfolio,Bridge,1759791.94,0.0045%
336,Swaap Maker V2,Dexs,1750714.14,0.0045%
337,Balancer V3,Dexs,1749537.30,0.0045%
338,USX.Capital,Stablecoin Wrapper,1715875.75,0.0044%
339,Chain Fusion,Decentralized BTC,1704908.45,0.0043%
340,PoolTogether V5,Yield Lottery,1700914.30,0.0043%
341,Across,Cross Chain Bridge,1695500.95,0.0043%
342,Stargate V1,Cross Chain Bridge,1680082.21,0.0043%
343,DipCoin Vault,Yield,1676493.18,0.0043%
344,Pickle,Yield Aggregator,1675511.13,0.0043%
345,Momentum,Dexs,1670291.44,0.0043%
