Rank,Name,Category,USDC Amount (USD),% of Total
1055,Orion Liquidity Nodes,Dexs,30787.80,0.0001%
1056,Nostra Money Market Alpha,Lending,30748.90,0.0001%
1057,Enclabs,Lending,30623.78,0.0001%
1058,Hybra V3,Dexs,30583.90,0.0001%
1059,DFX V2,Dexs,29965.16,0.0001%
1060,Value Liquid,Dexs,29895.95,0.0001%
1061,GuacSwap,Dexs,29820.35,0.0001%
1062,Tornado Cash,Privacy,29693.15,0.0001%
1063,2THICK,Dexs,29477.42,0.0001%
1064,Polycat Dex,Dexs,29465.17,0.0001%
1065,B.Protocol Curator,Risk Curators,29326.13,0.0001%
1066,Hypertrade V3,Dexs,29140.46,0.0001%
1067,Carmine Options,Options,29017.82,0.0001%
1068,Pepu Bridge,Bridge,28961.60,0.0001%
1069,Coinswap Space,Dexs,28870.98,0.0001%
1070,Lifinity V1,Dexs,28843.20,0.0001%
1071,ShibaSwap V1,Dexs,28780.99,0.0001%
1072,Cytonic Airdrop Campaign,Farm,28709.95,0.0001%
1073,YokaiSwap,Dexs,28380.48,0.0001%
1074,Swapr V2,Dexs,28180.39,0.0001%
1075,Swap Country,Dexs,27094.51,0.0001%
1076,Locus Finance,Yield,26921.24,0.0001%
1077,Affine DeFi Earn,Yield Aggregator,26733.46,0.0001%
1078,Dove Swap V3,Dexs,26701.13,0.0001%
1079,Bundles,Indexes,26578.74,0.0001%
1080,Arch,Indexes,26482.51,0.0001%
1081,ImmutableX,NFT Marketplace,26113.77,0.0001%
1082,PepeTeam Bridge,Bridge,26102.17,0.0001%
1083,Rose,Dexs,26039.82,0.0001%
1084,Milk Finance,Lending,25921.84,0.0001%
1085,Lunarbase,Dexs,25793.70,0.0001%
1086,Fractal Protocol,Yield,25664.01,0.0001%
1087,Nimbora Yield,Yield,25516.36,0.0001%
1088,BOB Bridge,Bridge,25502.22,0.0001%
1089,Sentiment,Lending,25390.69,0.0001%
1090,Shell Protocol,Dexs,25322.86,0.0001%
1091,Meso Finance,Lending,25078.02,0.0001%
1092,Yusan,Lending,25050.60,0.0001%
1093,AstroSwap AMM,Dexs,24836.20,0.0001%
1094,Tidal Finance,Insurance,24742.73,0.0001%
1095,SnowSwap,Dexs,24669.90,0.0001%
1096,Fuji V1,Lending,24502.10,0.0001%
1097,Sideswap,Dexs,24495.44,0.0001%
1098,Mars Lend,Lending,24394.17,0.0001%
1099,Relend Network,Risk Curators,24274.87,0.0001%
1100,WannaSwap,Dexs,24179.36,0.0001%
1101,StableKoi,Dexs,24031.88,0.0001%
1102,Biswap V3,Dexs,23982.61,0.0001%
1103,ISSUAA,Dexs,23952.62,0.0001%
1104,Honeyswap,Dexs,23776.72,0.0001%
1105,StarSwap,Dexs,23769.43,0.0001%
1106,USDFI Lending,Lending,23698.89,0.0001%
1107,Skydrome,Dexs,23617.36,0.0001%
1108,Resonate Finance,Yield,23397.66,0.0001%
1109,Cap Finance v1-v3,Derivatives,23283.67,0.0001%
1110,Umee,Lending,23239.40,0.0001%
1111,Credit Guild,Lending,23224.48,0.0001%
1112,WagyuSwap,Dexs,23121.46,0.0001%
1113,Boson Protocol,RWA,22983.86,0.0001%
1114,maxAPY,Yield Aggregator,22941.04,0.0001%
1115,EthicHub,RWA Lending,22904.61,0.0001%
1116,Lixir Finance,Liquidity Manager,22898.55,0.0001%
1117,SYNO Finance,Lending,22633.51,0.0001%
1118,wefi,Lending,22618.41,0.0001%
1119,Sector Finance,Yield,22470.55,0.0001%
1120,Gro,Yield,22294.09,0.0001%
1121,Lunos,Insurance,22278.33,0.0001%
1122,Bountive,Yield,22234.05,0.0001%
1123,YLDR,Lending,22157.69,0.0001%
1124,88mph,Lending,22059.69,0.0001%
1125,CGX Finance,Dexs,21899.33,0.0001%
1126,Symmetry,Indexes,21810.25,0.0001%
1127,EXIT10,Yield Aggregator,21766.48,0.0001%
1128,Kujira Orca,Liquidations,21587.42,0.0001%
1129,RociFi V1,Lending,21403.76,0.0001%
1130,DuneSwap,Dexs,21378.34,0.0001%
1131,Nested,Indexes,21298.70,0.0001%
1132,SmartCredit,Lending,21106.62,0.0001%
1133,JOJO,Derivatives,21006.32,0.0001%
1134,Saros AMM,Dexs,20920.65,0.0001%
1135,CGO Finance,Yield Aggregator,20877.39,0.0001%
1136,Opyn Convexity,Options,20813.19,0.0001%
1137,Forteswap,Dexs,20802.68,0.0001%
1138,Tempest Finance,Liquidity Manager,20697.26,0.0001%
1139,Tea-REX,Derivatives,20624.16,0.0001%
1140,Duet Protocol,Synthetics,20603.55,0.0001%
1141,HyperLend Isolated,Lending,20378.72,0.0001%
1142,100XSOON,Derivatives,20369.56,0.0001%
1143,ValueDefi,Dexs,20333.20,0.0001%
1144,Opyn Gamma,Options,20070.86,0.0001%
1145,Sumer.money,Lending,19903.14,0.0001%
1146,Avalon Finance,Lending,19883.54,0.0001%
1147,Puffer Vaults,Onchain Capital Allocator,19840.95,0.0001%
1148,Dopple Finance,Algo-Stables,19660.23,0.0001%
1149,GemSwap,Dexs,19450.32,0.0000%
1150,WAGMI,Dexs,19372.01,0.0000%
1151,Hundred Finance,Lending,19245.93,0.0000%
1152,Chronos V1,Dexs,19216.80,0.0000%
1153,eZKalibur,Dexs,19199.03,0.0000%
1154,Snowball,Yield,19178.47,0.0000%
1155,Joe V2.1,Dexs,19137.74,0.0000%
1156,Brahma Vaults (Sunset),Yield,19015.87,0.0000%
1157,JEXchangeDefi,Dexs,18946.70,0.0000%
1158,Coslend,Lending,18886.73,0.0000%
1159,Zebra V2,Dexs,18476.55,0.0000%
1160,Basilisk,Lending,18427.53,0.0000%
1161,SpaceFi Scroll,Dexs,18426.72,0.0000%
1162,Zentra Finance,Lending,18415.95,0.0000%
1163,Cozy V1,Insurance,18189.15,0.0000%
1164,Ferra CLMM,Dexs,18036.83,0.0000%
1165,ShimmerBridge,Bridge,17966.05,0.0000%
1166,Zyberswap V3,Dexs,17851.21,0.0000%
1167,RCPswap,Dexs,17807.67,0.0000%
1168,DFX V3,Dexs,17797.33,0.0000%
1169,Alephium Bridge,Bridge,17706.32,0.0000%
1170,Redstone,Canonical Bridge,17517.12,0.0000%
1171,Alpaca Leveraged Yield Farming,Leveraged Farming,17495.96,0.0000%
1172,SoneFi AMM,Dexs,17493.37,0.0000%
1173,Treble Spot,Dexs,17477.39,0.0000%
1174,MachineX CL,Dexs,17467.74,0.0000%
1175,Hyphen,Bridge,17404.52,0.0000%
1176,Pendle,Yield,17373.58,0.0000%
1177,Haiko,Dexs,17294.58,0.0000%
1178,Swaap Maker V1,Dexs,17219.84,0.0000%
1179,BaseX,Dexs,17025.96,0.0000%
1180,Mover,Yield,17009.61,0.0000%
1181,Firebird,DEX Aggregator,16966.05,0.0000%
1182,Predy V2,Derivatives,16957.88,0.0000%
1183,Spin Spot,Dexs,16942.21,0.0000%
1184,Kalax,Yield Aggregator,16901.87,0.0000%
1185,Ritsu Protocol,Dexs,16873.63,0.0000%
1186,EmiSwap,Dexs,16808.32,0.0000%
1187,GullNetwork AMM,Dexs,16800.47,0.0000%
1188,KuSwap,Dexs,16768.27,0.0000%
1189,KIM Exchange V3,Dexs,16633.58,0.0000%
1190,Solv Basis Trading,Basis Trading,16614.47,0.0000%
1191,Algofi Swap,Dexs,16610.78,0.0000%
1192,Magic Eden,NFT Marketplace,16607.17,0.0000%
1193,Virtus Protocol CL,Dexs,16482.98,0.0000%
1194,Jet V1,Lending,16433.98,0.0000%
1195,CHFRY Finance,Lending,16408.54,0.0000%
1196,StoneDefi,Yield Aggregator,16123.72,0.0000%
1197,Magician MV,Dexs,16084.20,0.0000%
1198,SUN.io,Dexs,15958.49,0.0000%
1199,Lif3 Swap,Dexs,15852.39,0.0000%
1200,Clober V2,Dexs,15731.07,0.0000%
1201,Nereus Finance,Lending,15681.28,0.0000%
1202,Minterest,Lending,15654.86,0.0000%
1203,Zyberswap AMM,Dexs,15642.26,0.0000%
1204,Kava Earn,Yield Aggregator,15585.13,0.0000%
1205,Kava Boost,Farm,15585.13,0.0000%
1206,LaserSwap,Dexs,15549.82,0.0000%
1207,Keeta Bridge,Canonical Bridge,15468.61,0.0000%
1208,Poolshark,Dexs,15464.44,0.0000%
1209,veSync,Dexs,15461.36,0.0000%
1210,Verse,Dexs,15456.36,0.0000%
1211,Joe V2,Dexs,15433.80,0.0000%
1212,PotatoSwap V3,Dexs,15401.61,0.0000%
1213,TownSquare,Lending,15353.01,0.0000%
1214,Forge SX Ovens,Synthetics,15237.97,0.0000%
1215,UniDex Perp,Derivatives,15084.79,0.0000%
1216,Crodex,Dexs,14990.29,0.0000%
1217,Clip Finance,Liquidity Manager,14953.52,0.0000%
1218,MM Finance Polygon,Dexs,14904.88,0.0000%
1219,Arkham Exchange,CEX,14883.73,0.0000%
1220,SheepDex,Dexs,14799.11,0.0000%
1221,PolygonFarm Finance,Yield,14798.30,0.0000%
1222,Smilee Finance Arbitrum,Options,14758.48,0.0000%
1223,Swop,Dexs,14690.48,0.0000%
1224,Warp Protocol,Lending,14640.91,0.0000%
1225,QIE Bridge,Bridge,14634.18,0.0000%
1226,Canto Dex,Dexs,14574.09,0.0000%
1227,Level Perps,Derivatives,14511.14,0.0000%
1228,SiO2 Finance,Lending,14449.89,0.0000%
1229,Sonex,Dexs,14445.82,0.0000%
1230,Pepu V3,Dexs,14283.39,0.0000%
1231,Teahouse Permissionless,Liquidity Manager,14187.49,0.0000%
1232,Soon,Chain,14054.47,0.0000%
1233,Qilin,Dexs,13994.19,0.0000%
1234,BIM Yield,Yield Aggregator,13908.03,0.0000%
1235,Magic Land,Yield,13897.89,0.0000%
1236,Jasper Vault,Options,13861.04,0.0000%
1237,Adrastea Yield,Yield,13816.54,0.0000%
1238,Mango Markets V4 Perps,Derivatives,13712.10,0.0000%
1239,Ramses HL Legacy,Dexs,13553.57,0.0000%
1240,SwapperChan,Dexs,13502.00,0.0000%
1241,YieldWolf,Yield,13482.04,0.0000%
1242,Pegasusdollar,Algo-Stables,13458.76,0.0000%
1243,Stabl.fi V2,Yield,13439.99,0.0000%
1244,DuckyDeFi,Dexs,13409.95,0.0000%
1245,BaseSwap V2,Dexs,13404.65,0.0000%
1246,SiennaLend,Lending,13394.10,0.0000%
1247,Primex Finance,Derivatives,13337.59,0.0000%
1248,Vooi V1,Dexs,13319.50,0.0000%
1249,MooniSwap,Dexs,13254.13,0.0000%
1250,MachineX Legacy,Dexs,13235.98,0.0000%
1251,Yellow,Dexs,13213.30,0.0000%
1252,EchoDEX V3,Dexs,13168.87,0.0000%
1253,Increment Protocol,Derivatives,13160.42,0.0000%
1254,Augury Finance,Yield,13127.27,0.0000%
1255,Predy V3.2,Derivatives,13082.01,0.0000%
1256,Puzzle Lend,Lending,13075.93,0.0000%
1257,ZKSwap,Chain,13065.70,0.0000%
1258,SMARDEX AMM,Dexs,13054.47,0.0000%
1259,AlienX,Chain,13045.49,0.0000%
1260,Yelay V1,Yield Aggregator,12825.41,0.0000%
1261,Equity,Derivatives,12777.44,0.0000%
1262,PearZap,Yield,12739.44,0.0000%
1263,Cykura,Dexs,12580.68,0.0000%
1264,Diamond Protocol V1,Yield,12419.46,0.0000%
1265,DAM Finance,CDP,12363.38,0.0000%
1266,Game7,Chain,12314.98,0.0000%
1267,KIM Exchange V2,Dexs,12245.06,0.0000%
1268,Levva,Liquidity Manager,12114.68,0.0000%
1269,CoinDCX,CEX,12052.46,0.0000%
1270,Maia CL,Dexs,11906.18,0.0000%
1271,PieDAO,Indexes,11905.85,0.0000%
1272,Unblock Equity,RWA Lending,11878.51,0.0000%
1273,DotOracle,Bridge,11845.47,0.0000%
1274,SwapMode V2,Dexs,11780.68,0.0000%
1275,Madness Finance,Dexs,11778.84,0.0000%
1276,zkDX,Farm,11720.29,0.0000%
1277,Fringe V1,Lending,11698.87,0.0000%
1278,WeDeFin,Indexes,11647.72,0.0000%
1279,BOB Fusion,Farm,11642.85,0.0000%
1280,Invariant Group,Risk Curators,11619.63,0.0000%
1281,DegenPrime,Leveraged Farming,11553.88,0.0000%
1282,FWX DEX,Dexs,11533.90,0.0000%
1283,PotatoSwap V2,Dexs,11495.46,0.0000%
1284,Taiga Karura,Synthetics,11472.71,0.0000%
1285,Kuma Perpetuals DEX,Derivatives,11442.77,0.0000%
1286,SwapFish,Dexs,11407.14,0.0000%
1287,Hercules V2,Dexs,11361.77,0.0000%
1288,Somnex Perp,Derivatives,11347.68,0.0000%
1289,Molten V4,Dexs,11311.05,0.0000%
1290,Connext,Bridge,11272.59,0.0000%
1291,PrimeFi,Lending,11253.68,0.0000%
1292,Myriad Markets,Prediction Market,11200.29,0.0000%
1293,ApertureSwap,Dexs,11146.17,0.0000%
1294,Blueberry,Yield,11100.02,0.0000%
1295,Pulsar Swap,Dexs,11072.46,0.0000%
1296,HakuSwap,Dexs,11046.57,0.0000%
1297,Starmaker,Dexs,10998.66,0.0000%
1298,H2 Finance V3,Dexs,10970.91,0.0000%
1299,PWN,Lending,10924.25,0.0000%
1300,Charm Finance V2,Liquidity Manager,10862.83,0.0000%
1301,MYSO V2,Lending,10842.06,0.0000%
1302,DefiChain DEX,Dexs,10836.39,0.0000%
1303,Universe Finance,Liquidity Manager,10803.69,0.0000%
1304,Onsen Swap,Dexs,10668.15,0.0000%
1305,Alchemix V2,Synthetics,10666.29,0.0000%
1306,Hats.V1,Bug Bounty,10641.59,0.0000%
1307,Thick,Dexs,10551.78,0.0000%
1308,Tonic,Dexs,10471.19,0.0000%
1309,Anvil,Collateral Management,10445.72,0.0000%
1310,ShrikePerps,Derivatives,10441.01,0.0000%
1311,Elk,Dexs,10399.68,0.0000%
1312,Interlay Lending,Lending,10252.59,0.0000%
1313,Surf Liquid,Yield,10209.58,0.0000%
1314,Horiza,Dexs,10196.21,0.0000%
1315,Equalizer Exchange,Dexs,10111.44,0.0000%
1316,Sudo Perps,Derivatives,10046.76,0.0000%
1317,Tender Finance,Lending,10007.95,0.0000%
1318,IguanaDEX V3,Dexs,9966.54,0.0000%
1319,Lodestar V1,Lending,9946.69,0.0000%
1320,CREAM Lending,Lending,9860.36,0.0000%
1321,Router Protocol,Cross Chain Bridge,9833.97,0.0000%
1322,Mimas Finance,Lending,9821.99,0.0000%
1323,Sophon Farm,Farm,9811.55,0.0000%
1324,MonoX,Dexs,9805.38,0.0000%
1325,SolidLizard Dex,Dexs,9796.26,0.0000%
1326,Shinjo,Yield Lottery,9790.34,0.0000%
1327,Spin Perps,Derivatives,9788.78,0.0000%
1328,Zencha Finance,Dexs,9760.08,0.0000%
1329,TakoTako,Lending,9757.31,0.0000%
1330,ZKBase,Dexs,9723.13,0.0000%
1331,Ocelex V2,Dexs,9527.90,0.0000%
1332,Polter Finance,Lending,9481.96,0.0000%
1333,Copra Finance,Lending,9475.75,0.0000%
1334,Predy V5,Derivatives,9398.54,0.0000%
1335,FluxBeam,Dexs,9261.63,0.0000%
1336,Sterling Finance,Dexs,9260.28,0.0000%
1337,XPress Protocol,Dexs,9245.61,0.0000%
1338,Wind Swap,Dexs,9225.53,0.0000%
1339,PadSwap,Dexs,9162.71,0.0000%
1340,Deli Swap,Dexs,9150.83,0.0000%
1341,Fringe V2,Lending,9132.36,0.0000%
1342,AlgoRai Finance,Options Vault,9132.14,0.0000%
1343,Polywhale Finance,Yield,9058.41,0.0000%
1344,Sorta Finance,Lending,9009.47,0.0000%
1345,VivaLeva Protocol,Leveraged Farming,8979.41,0.0000%
1346,ArcherSwap,Dexs,8956.31,0.0000%
1347,zkMoonSwap,Dexs,8907.97,0.0000%
1348,Solunea,Dexs,8880.02,0.0000%
1349,Hummus Weighted,Yield,8828.56,0.0000%
1350,NerveBridge,Bridge,8791.96,0.0000%
1351,EraLend,Lending,8755.58,0.0000%
1352,Gridex,Dexs,8746.36,0.0000%
1353,Blue Planet,Dexs,8700.50,0.0000%
1354,CyborgSwap,Dexs,8689.18,0.0000%
1355,Altitude,Cross Chain Bridge,8683.78,0.0000%
1356,Beta Finance V2,Lending,8460.88,0.0000%
1357,CafeSwap,Dexs,8423.61,0.0000%
1358,JediSwap V2,Dexs,8412.74,0.0000%
1359,Kinesis Labs,Dexs,8397.81,0.0000%
1360,WavesBridge,Bridge,8386.41,0.0000%
1361,Nile CL,Dexs,8384.99,0.0000%
1362,THENA V1,Dexs,8379.03,0.0000%
1363,Velvet V2,Indexes,8378.56,0.0000%
1364,Shoebill V2,Lending,8377.34,0.0000%
1365,Jet Margin,Lending,8310.86,0.0000%
1366,Scallop Pool,Yield,8307.47,0.0000%
1367,Penguin Finance,Yield,8239.95,0.0000%
1368,Torches,Lending,8213.45,0.0000%
1369,Catex,Dexs,8185.40,0.0000%
1370,Sweep,RWA,8158.33,0.0000%
1371,ParaSpace Lending V1,Lending,8144.20,0.0000%
1372,VulcanDex,Dexs,8143.25,0.0000%
1373,ApeRocket,Yield,7970.33,0.0000%
1374,Aelin,Charity Fundraising,7938.17,0.0000%
1375,GaloSwap,Dexs,7907.41,0.0000%
1376,K613,Lending,7905.70,0.0000%
1377,Morpho Optimizer AaveV3,Lending,7892.20,0.0000%
1378,Elix.fi,Dexs,7885.77,0.0000%
1379,Xpert,Lending,7852.48,0.0000%
1380,Jellyverse,Dexs,7848.82,0.0000%
1381,Kogefarm,Yield,7828.82,0.0000%
1382,ClaimSwap V2,Dexs,7825.54,0.0000%
1383,SunX Bridge,Bridge,7813.23,0.0000%
1384,Elektrik,Dexs,7799.70,0.0000%
1385,Diffusion Finance,Dexs,7773.60,0.0000%
1386,Earnium,Dexs,7750.53,0.0000%
1387,Croblanc,Yield,7748.74,0.0000%
1388,Fraxlend,Lending,7739.35,0.0000%
1389,Thoreum Finance,Yield,7701.25,0.0000%
1390,Segment Finance,Lending,7697.78,0.0000%
1391,Proteo Defi,Farm,7585.37,0.0000%
1392,Tanken Capital,Risk Curators,7562.80,0.0000%
1393,Vicuna Lending,Lending,7454.95,0.0000%
1394,Terraswap,Dexs,7433.39,0.0000%
1395,MetaLend,Lending,7416.97,0.0000%
1396,ChainGPT,Launchpad,7404.99,0.0000%
1397,Lemma,Derivatives,7371.54,0.0000%
1398,Unagii,Yield,7369.10,0.0000%
1399,Symmetry Trade,Derivatives,7366.78,0.0000%
1400,iZUMi LiquidBox,Yield,7287.44,0.0000%
1401,BakerySwap,Dexs,7249.24,0.0000%
1402,ManXSwap,Dexs,7200.19,0.0000%
1403,Cone,Dexs,7187.53,0.0000%
1404,Impossible Finance,Launchpad,7184.29,0.0000%
1405,Elara,Lending,7179.11,0.0000%
1406,Goku Money,CDP,7156.00,0.0000%
1407,Dusa Protocol,Dexs,7153.98,0.0000%
1408,Mushrooms Finance,Yield Aggregator,7137.96,0.0000%
1409,Composable Finance,Cross Chain Bridge,7068.17,0.0000%
1410,FreeRiver,Dexs,7053.22,0.0000%
1411,Bunny,Yield,7002.89,0.0000%
1412,B.Protocol,Liquidations,6941.93,0.0000%
1413,Inertia Bridge,Canonical Bridge,6929.38,0.0000%
1414,RamsesX Arbitrum CL,Dexs,6896.00,0.0000%
1415,Spice Trade,Algo-Stables,6875.48,0.0000%
1416,Balancer CoW AMM,Dexs,6850.82,0.0000%
1417,HorizonDEX,Dexs,6837.69,0.0000%
1418,Aptoswap,Dexs,6805.71,0.0000%
1419,Agave,Lending,6781.14,0.0000%
1420,TiTi Protocol,Algo-Stables,6758.81,0.0000%
1421,Zuit Swap,Dexs,6691.11,0.0000%
1422,CobaltX,Dexs,6681.37,0.0000%
1423,Standard Protocol Shiden,Dexs,6679.17,0.0000%
1424,OreoSwap,Dexs,6670.33,0.0000%
1425,V12,Dexs,6662.24,0.0000%
1426,RociFi V2,Lending,6633.43,0.0000%
1427,Coupon Finance,Lending,6554.98,0.0000%
1428,Bella Protocol,Yield,6542.54,0.0000%
1429,Juiceswap,Dexs,6523.85,0.0000%
1430,EnterDAO,Gaming,6499.92,0.0000%
1431,Arrakis V2,Liquidity Manager,6446.59,0.0000%
1432,ArbiSwap,Dexs,6444.37,0.0000%
1433,Beets DEX V3,Dexs,6432.14,0.0000%
1434,Logium,Derivatives,6382.71,0.0000%
1435,Flux Exchange,Derivatives,6365.71,0.0000%
1436,Ryze.Fi,Derivatives,6353.84,0.0000%
1437,BooFinance,Yield,6335.55,0.0000%
1438,Salem Finance,Yield,6292.13,0.0000%
1439,Tesseract,Yield,6235.22,0.0000%
1440,9mm V2,Dexs,6223.20,0.0000%
1441,Parallax,Yield Aggregator,6221.06,0.0000%
1442,Kagla Finance,Dexs,6208.48,0.0000%
1443,LuigiSwap,Dexs,6207.22,0.0000%
1444,Crystl Finance,Yield,6190.65,0.0000%
1445,UniVoucher,Payments,6180.58,0.0000%
1446,Anzen V1,RWA,6152.27,0.0000%
1447,Basin Exchange,Dexs,6115.24,0.0000%
1448,UntitledBank,Lending,6113.05,0.0000%
1449,Numoen,Derivatives,6104.38,0.0000%
1450,Surf Protocol,Derivatives,5998.89,0.0000%
1451,Ramses Legacy,Dexs,5977.10,0.0000%
1452,Ubeswap V3,Dexs,5972.33,0.0000%
1453,Mummy Finance,Derivatives,5898.75,0.0000%
1454,Voltage StableSwap,Dexs,5853.89,0.0000%
1455,ShibaNova,Dexs,5833.25,0.0000%
1456,Dojoswap AMM,Dexs,5798.48,0.0000%
1457,DX25,Dexs,5775.66,0.0000%
1458,Gasp,Cross Chain Bridge,5769.92,0.0000%
1459,Jetstream,Derivatives,5744.27,0.0000%
1460,Xena Finance,Derivatives,5730.86,0.0000%
1461,9inch V3,Dexs,5724.95,0.0000%
1462,Wswap Bridge,Bridge,5683.81,0.0000%
1463,Amulet V2,Yield Aggregator,5682.31,0.0000%
1464,PolyShield,Yield,5673.23,0.0000%
1465,Aladdin DAO,Yield Aggregator,5671.80,0.0000%
1466,Xfai,Dexs,5671.70,0.0000%
1467,PacificSwap V3,Dexs,5669.51,0.0000%
1468,ZipSwap,Dexs,5653.37,0.0000%
1469,Popsicle Finance,Liquidity Manager,5544.69,0.0000%
1470,Blend Pools,Lending,5544.67,0.0000%
1471,VII Finance,Leveraged Farming,5523.08,0.0000%
1472,CrossCurve,Cross Chain Bridge,5513.73,0.0000%
1473,SugarSwap,Dexs,5467.97,0.0000%
1474,FeeFree,Dexs,5463.79,0.0000%
1475,ArbiRise Finance,Yield,5421.28,0.0000%
1476,Zeno Exchange,Derivatives,5413.19,0.0000%
1477,Parcl V2,Synthetics,5358.24,0.0000%
1478,MyTrade,Dexs,5324.35,0.0000%
1479,Cometh,Dexs,5315.15,0.0000%
1480,Nuri CL,Dexs,5315.13,0.0000%
1481,Flashstake,Yield,5274.88,0.0000%
1482,Argo,CDP,5245.63,0.0000%
1483,YuzuSwap,Dexs,5226.07,0.0000%
1484,Sentre,Dexs,5173.57,0.0000%
1485,DerpDEX,Dexs,5149.00,0.0000%
1486,HeliSwap,Dexs,5137.92,0.0000%
1487,Axial,Dexs,5117.96,0.0000%
1488,PolyDEX-Cryption Network,Dexs,5108.99,0.0000%
1489,OpenSky Finance,NFT Lending,5056.70,0.0000%
1490,Savvy,CDP,5029.10,0.0000%
1491,SoliDex Finance V3,Dexs,5023.68,0.0000%
1492,Free Protocol,Bridge,5021.53,0.0000%
1493,AuroraSwap,Dexs,5013.40,0.0000%
1494,Primitive,Dexs,5003.81,0.0000%
1495,SwapBased AMM,Dexs,4955.46,0.0000%
1496,Fluxtra,Liquid Staking,4933.09,0.0000%
1497,KwikSwap,Dexs,4932.36,0.0000%
1498,Weiss Finance,CDP,4853.44,0.0000%
1499,OpenLeverage,Dexs,4849.73,0.0000%
1500,MM Finance Arbitrum V3,Dexs,4782.61,0.0000%
1501,HeLa Bridge,Bridge,4770.25,0.0000%
1502,Sonus Exchange AMM,Dexs,4754.10,0.0000%
1503,VeryLongSwap AMM,Dexs,4751.39,0.0000%
1504,Obsidian,DEX Aggregator,4743.24,0.0000%
1505,FinNexus,Options,4707.93,0.0000%
1506,Spectrum Protocol,Yield,4706.32,0.0000%
1507,CougarSwap,Yield,4694.67,0.0000%
1508,ProtossDex,Dexs,4652.50,0.0000%
1509,Tokenlon AMM,Dexs,4620.25,0.0000%
1510,MerlinSwap,Dexs,4532.51,0.0000%
1511,Diamond Protocol V2,Liquidity Manager,4505.17,0.0000%
1512,Banksy Farm,Yield,4487.64,0.0000%
1513,Interport Finance,Cross Chain Bridge,4482.11,0.0000%
1514,Nearpad,Dexs,4468.71,0.0000%
1515,Ultrasolid V3,Dexs,4465.38,0.0000%
1516,Bean Exchange,Dexs,4463.66,0.0000%
1517,GoSwap,Dexs,4450.85,0.0000%
1518,Metavault V3,Dexs,4436.97,0.0000%
1519,Panko Finance,Dexs,4433.72,0.0000%
1520,Dystopia,Dexs,4431.98,0.0000%
1521,SupSwap V3,Dexs,4381.21,0.0000%
1522,Butter.xyz,Dexs,4341.08,0.0000%
1523,Gardens,Governance Incentives,4264.39,0.0000%
1524,Yel Finance,Yield,4259.88,0.0000%
1525,Rollie Finance,Derivatives,4257.76,0.0000%
1526,Drachma,Dexs,4254.60,0.0000%
1527,SmartDEX,Dexs,4233.81,0.0000%
1528,Alkimiya,Derivatives,4213.67,0.0000%
1529,Blaze Swap,Dexs,4190.51,0.0000%
1530,Tokeniza,RWA,4180.38,0.0000%
1531,Ulysses,Bridge,4170.31,0.0000%
1532,Alkemi,Lending,4157.50,0.0000%
1533,YieldFlow Yield Farming,Liquidity Manager,4138.88,0.0000%
1534,Ooki,Lending,4132.52,0.0000%
1535,DinoSwap,Dexs,4127.71,0.0000%
1536,ElasticSwap,Dexs,4093.02,0.0000%
1537,Somnex V3,Dexs,4084.27,0.0000%
1538,VanillaSwap V2,Dexs,4059.50,0.0000%
1539,Alien Base V2,Dexs,4043.54,0.0000%
1540,Dyson,Liquidity Manager,3982.29,0.0000%
1541,Neony Exchange Bridge,Bridge,3972.27,0.0000%
1542,BetterLend,Lending,3964.41,0.0000%
1543,DeeppDAO,Prediction Market,3952.55,0.0000%
1544,Koi Finance CL,Dexs,3933.27,0.0000%
1545,Dracula Finance,Dexs,3917.38,0.0000%
1546,Hedgey,Payments,3875.30,0.0000%
1547,HoustonSwap,Dexs,3871.63,0.0000%
1548,CherrySwap,Dexs,3842.22,0.0000%
1549,MetalSwap,Derivatives,3826.93,0.0000%
1550,MCDEX,Dexs,3809.04,0.0000%
1551,BaySwap,Dexs,3800.31,0.0000%
1552,Whiteheart,Options,3755.50,0.0000%
1553,Nomad,Bridge,3719.98,0.0000%
1554,Ram Protocol,Lending,3697.43,0.0000%
1555,SpookySwap V3,Dexs,3684.48,0.0000%
1556,Cyber,Chain,3684.12,0.0000%
1557,Quadrat,Liquidity Manager,3677.55,0.0000%
1558,Morpho Optimizer CompoundV2,Lending,3657.27,0.0000%
1559,Cap Finance V4,Derivatives,3632.21,0.0000%
1560,Lore Finance,Lending,3624.93,0.0000%
1561,WOWswap,Dexs,3562.34,0.0000%
1562,Huckleberry Lending,Lending,3544.38,0.0000%
1563,TrueFi,Uncollateralized Lending,3528.32,0.0000%
1564,Oxium,Dexs,3495.11,0.0000%
1565,Momodrome,Dexs,3492.22,0.0000%
1566,INERTIA,Lending,3487.64,0.0000%
1567,Bow,Yield,3483.27,0.0000%
1568,Skate Fi,Liquidity Manager,3465.86,0.0000%
1569,OkieSwap Stableswap,Dexs,3460.52,0.0000%
1570,Alligator,Dexs,3460.33,0.0000%
1571,Lydia,Dexs,3459.27,0.0000%
1572,Pulse Rate,Algo-Stables,3425.31,0.0000%
1573,LendeXe Finance,Lending,3419.51,0.0000%
1574,BAO Swap,Dexs,3383.74,0.0000%
1575,Kim Vaults,Yield,3377.65,0.0000%
1576,Arcadia V1,Leveraged Farming,3331.63,0.0000%
1577,Velvet V3,Yield,3326.32,0.0000%
1578,Kriya AMM,Dexs,3276.48,0.0000%
